,AAPL,IBM,GOOG,XOM,cash,commission,sum
2011-01-10,511485.0,0.0,0.0,0.0,488515.0,-2567.375,997432.625
2011-01-11,510270.0,0.0,0.0,0.0,488515.0,-2567.375,996217.625
2011-01-12,514425.0,0.0,0.0,0.0,488515.0,-2567.375,1000372.625
2011-01-13,0.0,578200.0,0.0,0.0,426615.0,-8059.775,996755.225
2011-01-14,0.0,582800.0,0.0,0.0,426615.0,-8059.775,1001355.225
2011-01-18,0.0,585320.0,0.0,0.0,426615.0,-8059.775,1003875.225
2011-01-19,0.0,604880.0,0.0,0.0,426615.0,-8059.775,1023435.225
2011-01-20,0.0,605320.0,0.0,0.0,426615.0,-8059.775,1023875.225
2011-01-21,0.0,604160.0,0.0,0.0,426615.0,-8059.775,1022715.225
2011-01-24,0.0,620200.0,0.0,0.0,426615.0,-8059.775,1038755.225
2011-01-25,0.0,627240.0,0.0,0.0,426615.0,-8059.775,1045795.225
2011-01-26,0.0,625680.0,616500.0,0.0,-189885.0,-11152.224999999999,1041142.775
2011-01-27,0.0,625800.0,616790.0,0.0,-189885.0,-11152.224999999999,1041552.775
2011-01-28,0.0,618560.0,600990.0,0.0,-189885.0,-11152.224999999999,1018512.775
2011-01-31,0.0,629400.0,600360.0,0.0,-189885.0,-11152.224999999999,1028722.775
2011-02-01,0.0,635480.0,611040.0,0.0,-189885.0,-11152.224999999999,1045482.775
2011-02-02,0.0,634480.0,612000.0,-319840.0,129955.0,-12761.374999999998,1043833.625
2011-02-03,0.0,635360.0,610150.0,-319960.0,129955.0,-12761.374999999998,1042743.625
2011-02-04,0.0,637200.0,610980.0,-319360.0,129955.0,-12761.374999999998,1046013.625
2011-02-07,0.0,640360.0,614290.0,-321840.0,129955.0,-12761.374999999998,1050003.625
2011-02-08,0.0,647720.0,618380.0,-319880.0,129955.0,-12761.374999999998,1063413.625
2011-02-09,0.0,642240.0,616500.0,-318200.0,129955.0,-12761.374999999998,1057733.625
2011-02-10,0.0,640080.0,616440.0,0.0,-190765.0,-14374.925,1051380.075
2011-02-11,0.0,639120.0,624500.0,0.0,-190765.0,-14374.925,1058480.075
2011-02-14,0.0,636680.0,628150.0,0.0,-190765.0,-14374.925,1059690.075
2011-02-15,0.0,635200.0,624150.0,0.0,-190765.0,-14374.925,1054210.075
2011-02-16,0.0,637360.0,624220.0,0.0,-190765.0,-14374.925,1056440.075
2011-02-17,0.0,640640.0,625260.0,0.0,-190765.0,-14374.925,1060760.075
2011-02-18,0.0,643000.0,630080.0,0.0,-190765.0,-14374.925,1067940.075
2011-02-22,0.0,631720.0,610210.0,0.0,-190765.0,-14374.925,1036790.075
2011-02-23,0.0,624800.0,611320.0,0.0,-190765.0,-14374.925,1030980.075
2011-02-24,0.0,627120.0,608820.0,0.0,-190765.0,-14374.925,1030800.075
2011-02-25,0.0,633000.0,610040.0,0.0,-190765.0,-14374.925,1037900.075
2011-02-28,0.0,631440.0,613400.0,0.0,-190765.0,-14374.925,1039700.075
2011-03-01,0.0,624000.0,600760.0,0.0,-190765.0,-14374.925,1019620.075
2011-03-02,0.0,624720.0,600790.0,0.0,-190765.0,-14374.925,1020370.075
2011-03-03,0.0,286956.0,0.0,0.0,769519.0,-19196.245,1037278.755
2011-03-04,0.0,284058.0,0.0,0.0,769519.0,-19196.245,1034380.755
2011-03-07,0.0,280728.0,0.0,0.0,769519.0,-19196.245,1031050.755
2011-03-08,0.0,284850.0,0.0,0.0,769519.0,-19196.245,1035172.755
2011-03-09,0.0,291132.0,0.0,0.0,769519.0,-19196.245,1041454.755
2011-03-10,0.0,284400.0,0.0,0.0,769519.0,-19196.245,1034722.755
2011-03-11,0.0,285120.0,0.0,0.0,769519.0,-19196.245,1035442.755
2011-03-14,0.0,283284.0,0.0,0.0,769519.0,-19196.245,1033606.755
2011-03-15,0.0,279126.0,0.0,0.0,769519.0,-19196.245,1029448.755
2011-03-16,0.0,268560.0,0.0,0.0,769519.0,-19196.245,1018882.755
2011-03-17,0.0,270630.0,0.0,0.0,769519.0,-19196.245,1020952.755
2011-03-18,0.0,273636.0,0.0,0.0,769519.0,-19196.245,1023958.755
2011-03-21,0.0,276768.0,0.0,0.0,769519.0,-19196.245,1027090.755
2011-03-22,0.0,277344.0,0.0,0.0,769519.0,-19196.245,1027666.755
2011-03-23,0.0,280026.0,0.0,0.0,769519.0,-19196.245,1030348.755
2011-03-24,0.0,280926.0,0.0,0.0,769519.0,-19196.245,1031248.755
2011-03-25,0.0,284670.0,0.0,0.0,769519.0,-19196.245,1034992.755
2011-03-28,0.0,283248.0,0.0,0.0,769519.0,-19196.245,1033570.755
2011-03-29,0.0,285912.0,0.0,0.0,769519.0,-19196.245,1036234.755
2011-03-30,0.0,287172.0,0.0,0.0,769519.0,-19196.245,1037494.755
2011-03-31,0.0,286236.0,0.0,0.0,769519.0,-19196.245,1036558.755
2011-04-01,0.0,288342.0,0.0,0.0,769519.0,-19196.245,1038664.755
2011-04-04,0.0,288306.0,0.0,0.0,769519.0,-19196.245,1038628.755
2011-04-05,0.0,287856.0,0.0,0.0,769519.0,-19196.245,1038178.755
2011-04-06,0.0,287946.0,0.0,0.0,769519.0,-19196.245,1038268.755
2011-04-07,0.0,288540.0,0.0,0.0,769519.0,-19196.245,1038862.755
2011-04-08,0.0,287964.0,0.0,0.0,769519.0,-19196.245,1038286.755
2011-04-11,0.0,287784.0,0.0,0.0,769519.0,-19196.245,1038106.755
2011-04-12,0.0,286560.0,0.0,0.0,769519.0,-19196.245,1036882.755
2011-04-13,0.0,287784.0,0.0,0.0,769519.0,-19196.245,1038106.755
2011-04-14,0.0,289566.0,0.0,0.0,769519.0,-19196.245,1039888.755
2011-04-15,0.0,291744.0,0.0,0.0,769519.0,-19196.245,1042066.755
2011-04-18,0.0,291276.0,0.0,0.0,769519.0,-19196.245,1041598.755
2011-04-19,0.0,290322.0,0.0,0.0,769519.0,-19196.245,1040644.755
2011-04-20,0.0,289188.0,0.0,0.0,769519.0,-19196.245,1039510.755
2011-04-21,0.0,295380.0,0.0,0.0,769519.0,-19196.245,1045702.755
2011-04-25,0.0,294318.0,0.0,0.0,769519.0,-19196.245,1044640.755
2011-04-26,0.0,295758.0,0.0,0.0,769519.0,-19196.245,1046080.755
2011-04-27,0.0,299052.0,0.0,0.0,769519.0,-19196.245,1049374.755
2011-04-28,0.0,299772.0,0.0,0.0,769519.0,-19196.245,1050094.755
2011-04-29,0.0,299412.0,0.0,0.0,769519.0,-19196.245,1049734.755
2011-05-02,0.0,302166.0,0.0,0.0,769519.0,-19196.245,1052488.755
2011-05-03,0.0,556314.0,0.0,0.0,516649.0,-20470.545,1052492.455
2011-05-04,0.0,549054.0,0.0,0.0,516649.0,-20470.545,1045232.455
2011-05-05,0.0,542124.0,0.0,0.0,516649.0,-20470.545,1038302.455
2011-05-06,0.0,545919.0,0.0,0.0,516649.0,-20470.545,1042097.455
2011-05-09,0.0,546612.0,0.0,0.0,516649.0,-20470.545,1042790.455
2011-05-10,0.0,550737.0,0.0,0.0,516649.0,-20470.545,1046915.455
2011-05-11,0.0,547899.0,0.0,0.0,516649.0,-20470.545,1044077.455
2011-05-12,0.0,556743.0,0.0,0.0,516649.0,-20470.545,1052921.455
2011-05-13,0.0,549252.0,0.0,0.0,516649.0,-20470.545,1045430.455
2011-05-16,0.0,545820.0,0.0,0.0,516649.0,-20470.545,1041998.455
2011-05-17,0.0,551133.0,0.0,0.0,516649.0,-20470.545,1047311.455
2011-05-18,0.0,550935.0,0.0,0.0,516649.0,-20470.545,1047113.455
2011-05-19,0.0,551430.0,0.0,0.0,516649.0,-20470.545,1047608.455
2011-05-20,0.0,550044.0,0.0,0.0,516649.0,-20470.545,1046222.455
2011-05-23,0.0,543906.0,0.0,0.0,516649.0,-20470.545,1040084.455
2011-05-24,0.0,543015.0,0.0,0.0,516649.0,-20470.545,1039193.455
2011-05-25,0.0,542256.0,0.0,0.0,516649.0,-20470.545,1038434.455
2011-05-26,0.0,540408.0,0.0,0.0,516649.0,-20470.545,1036586.455
2011-05-27,0.0,541431.0,0.0,0.0,516649.0,-20470.545,1037609.455
2011-05-31,0.0,546051.0,0.0,0.0,516649.0,-20470.545,1042229.455
2011-06-01,0.0,538395.0,0.0,0.0,516649.0,-20470.545,1034573.455
2011-06-02,0.0,536877.0,0.0,0.0,516649.0,-20470.545,1033055.455
2011-06-03,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-06-06,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-06-07,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-06-08,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-06-09,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-06-10,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-06-13,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-06-14,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-06-15,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-06-16,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-06-17,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-06-20,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-06-21,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-06-22,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-06-23,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-06-24,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-06-27,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-06-28,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-06-29,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-06-30,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-07-01,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-07-05,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-07-06,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-07-07,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-07-08,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-07-11,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-07-12,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-07-13,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-07-14,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-07-15,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-07-18,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-07-19,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-07-20,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-07-21,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-07-22,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-07-25,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-07-26,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-07-27,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-07-28,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-07-29,0.0,0.0,0.0,0.0,1050160.0,-23148.05,1027011.95
2011-08-01,0.0,0.0,0.0,0.0,1050160.0,-23501.6735,1026658.3265
